sub,prob,timeBin,PSE,slope
1,50,1,-0.0452227549602181,31.7880814323648
1,50,2,-0.0280447590869636,34.1838128628006
1,70,1,-0.0275863700469717,55.4829974331389
1,70,2,0.00868698918840045,40.4787585864162
1,90,1,-0.0010058930922368,47.0245384337824
1,90,2,-0.0153394465144558,43.3598020737298
2,50,1,-0.0428208470998513,31.5808845936316
2,50,2,-0.079239674125851,32.1466188395194
2,70,1,-0.0124479293619222,41.3757043436471
2,70,2,-0.009952834466674,35.684731338525
2,90,1,0.0578241047863969,47.1561435364959
2,90,2,0.0587304341217786,31.3670502182241
3,50,1,-0.00665607687308953,35.211365006465
3,50,2,0.0057727187724222,51.2481585801416
3,70,1,-0.00416299135472887,32.479717522177
3,70,2,-0.0026254506051756,29.5571040957956
3,90,1,0.012880780387723,30.8796724432588
3,90,2,0.0300022853502536,43.3624198796975
4,50,1,-0.0270166667424875,39.3054963876024
4,50,2,-0.00407489835955318,39.4989850411082
4,70,1,0.000478372384093478,54.3133980001175
4,70,2,-0.0155277627917804,25.8674278332237
4,90,1,0.0426026827986796,30.0452977986998
4,90,2,0.0292685678718605,28.6360670264427
5,50,1,-0.0316177970323745,34.5200666828116
5,50,2,-0.0356142445437845,48.3930401464625
5,70,1,-0.0209199303496501,26.910772574367
5,70,2,-0.0181273063259829,78.9738807380681
5,90,1,-0.0217538795724466,23.7822762346486
5,90,2,0.00772478875225057,23.7404482782914
6,50,1,-0.0669829353952044,15.1219911241522
6,50,2,-0.0375441175659019,16.1997528231188
6,70,1,-0.0175398097080732,17.9457742862523
6,70,2,-0.0328372369487746,32.6330686154387
6,90,1,0.057663446430224,14.7851138570141
6,90,2,-0.0163657459146249,17.8289252024536
7,50,1,-0.0495073174261508,9.93195956940745
7,50,2,-0.0916686422044474,28.4857250826082
7,70,1,-0.03825193996801,33.1042864888767
7,70,2,-0.0281858615671567,14.9033788611302
7,90,1,-0.0349174388292505,24.04709384612
7,90,2,-0.0287351285439925,27.6731492271288
8,50,1,0.028095516917613,17.9022975222548
8,50,2,0.012424494819363,21.0602063709397
8,70,1,0.09765389649556,487.428646584496
8,70,2,0.0924568194406483,26.8902363495203
8,90,1,0.0917883946272739,53.399011482593
8,90,2,0.0684726793679726,34.2325763774156
9,50,1,-0.0353911602471428,22.9432139402131
9,50,2,0.0157229912653715,20.7333206647868
9,70,1,-0.0259136424709412,31.5495250032426
9,70,2,-0.0126601286990068,19.9274717070339
9,90,1,0.0837634086394857,19.6105192732278
9,90,2,0.0325486213128409,20.8887986268186
