sub,prob,PSEDiff
1,50,0.0171779958732545
1,50,0.0171779958732545
1,70,0.0362733592353721
1,70,0.0362733592353721
1,90,-0.014333553422219
1,90,-0.014333553422219
2,50,-0.0364188270259996
2,50,-0.0364188270259996
2,70,0.00249509489524821
2,70,0.00249509489524821
2,90,0.000906329335381616
2,90,0.000906329335381616
3,50,0.0124287956455117
3,50,0.0124287956455117
3,70,0.00153754074955327
3,70,0.00153754074955327
3,90,0.0171215049625306
3,90,0.0171215049625306
4,50,0.0229417683829343
4,50,0.0229417683829343
4,70,-0.0160061351758739
4,70,-0.0160061351758739
4,90,-0.0133341149268191
4,90,-0.0133341149268191
5,50,-0.00399644751141007
5,50,-0.00399644751141007
5,70,0.00279262402366726
5,70,0.00279262402366726
5,90,0.0294786683246971
5,90,0.0294786683246971
6,50,0.0294388178293025
6,50,0.0294388178293025
6,70,-0.0152974272407014
6,70,-0.0152974272407014
6,90,-0.0740291923448489
6,90,-0.0740291923448489
7,50,-0.0421613247782966
7,50,-0.0421613247782966
7,70,0.0100660784008533
7,70,0.0100660784008533
7,90,0.006182310285258
7,90,0.006182310285258
8,50,-0.0156710220982501
8,50,-0.0156710220982501
8,70,-0.00519707705491178
8,70,-0.00519707705491178
8,90,-0.0233157152593013
8,90,-0.0233157152593013
9,50,0.0511141515125143
9,50,0.0511141515125143
9,70,0.0132535137719344
9,70,0.0132535137719344
9,90,-0.0512147873266447
9,90,-0.0512147873266447
